lat,long
-37.662298, 144.730412
-37.662298, 144.74175973
-37.662298, 144.75310746
-37.662298, 144.76445519
-37.662298, 144.77580293
-37.662298, 144.78715066
-37.662298, 144.79849839
-37.662298, 144.80984612
-37.662298, 144.82119385
-37.662298, 144.83254158
-37.662298, 144.84388931
-37.662298, 144.85523705
-37.662298, 144.86658478
-37.662298, 144.87793251
-37.662298, 144.88928024
-37.662298, 144.90062797
-37.662298, 144.9119757
-37.662298, 144.92332344
-37.662298, 144.93467117
-37.662298, 144.9460189
-37.662298, 144.95736663
-37.662298, 144.96871436
-37.662298, 144.98006209
-37.662298, 144.99140982
-37.662298, 145.00275756
-37.662298, 145.01410529
-37.662298, 145.02545302
-37.662298, 145.03680075
-37.662298, 145.04814848
-37.662298, 145.05949621
-37.662298, 145.07084394
-37.662298, 145.08219168
-37.662298, 145.09353941
-37.662298, 145.10488714
-37.662298, 145.11623487
-37.662298, 145.1275826
-37.662298, 145.13893033
-37.662298, 145.15027807
-37.662298, 145.1616258
-37.662298, 145.17297353
-37.662298, 145.18432126
-37.662298, 145.19566899
-37.662298, 145.20701672
-37.662298, 145.21836445
-37.662298, 145.22971219
-37.662298, 145.24105992
-37.662298, 145.25240765
-37.662298, 145.26375538
-37.662298, 145.27510311
-37.662298, 145.28645084
-37.662298, 145.29779857
-37.66865002, 144.73608587
-37.66865002, 144.7474336
-37.66865002, 144.75878133
-37.66865002, 144.77012906
-37.66865002, 144.78147679
-37.66865002, 144.79282452
-37.66865002, 144.80417225
-37.66865002, 144.81551999
-37.66865002, 144.82686772
-37.66865002, 144.83821545
-37.66865002, 144.84956318
-37.66865002, 144.86091091
-37.66865002, 144.87225864
-37.66865002, 144.88360638
-37.66865002, 144.89495411
-37.66865002, 144.90630184
-37.66865002, 144.91764957
-37.66865002, 144.9289973
-37.66865002, 144.94034503
-37.66865002, 144.95169276
-37.66865002, 144.9630405
-37.66865002, 144.97438823
-37.66865002, 144.98573596
-37.66865002, 144.99708369
-37.66865002, 145.00843142
-37.66865002, 145.01977915
-37.66865002, 145.03112688
-37.66865002, 145.04247462
-37.66865002, 145.05382235
-37.66865002, 145.06517008
-37.66865002, 145.07651781
-37.66865002, 145.08786554
-37.66865002, 145.09921327
-37.66865002, 145.11056101
-37.66865002, 145.12190874
-37.66865002, 145.13325647
-37.66865002, 145.1446042
-37.66865002, 145.15595193
-37.66865002, 145.16729966
-37.66865002, 145.17864739
-37.66865002, 145.18999513
-37.66865002, 145.20134286
-37.66865002, 145.21269059
-37.66865002, 145.22403832
-37.66865002, 145.23538605
-37.66865002, 145.24673378
-37.66865002, 145.25808151
-37.66865002, 145.26942925
-37.66865002, 145.28077698
-37.66865002, 145.29212471
-37.66865002, 145.30347244
-37.67500204, 144.730412
-37.67500204, 144.74175973
-37.67500204, 144.75310746
-37.67500204, 144.76445519
-37.67500204, 144.77580293
-37.67500204, 144.78715066
-37.67500204, 144.79849839
-37.67500204, 144.80984612
-37.67500204, 144.82119385
-37.67500204, 144.83254158
-37.67500204, 144.84388931
-37.67500204, 144.85523705
-37.67500204, 144.86658478
-37.67500204, 144.87793251
-37.67500204, 144.88928024
